#Event S_ID P B E Ly Ld Mo S C St Px Bd
1 1 1 1 0 0 1 0 0 1 1 3 1
1 2 1 1 0 1 1 0 0 1 1 3 1
1 3 1 1 0 2 1 0 0 1 1 3 1
1 4 0 1 0 3 1 0 0 1 1 3 1
1 5 0 1 0 4 1 0 0 1 1 3 1
1 6 0 1 0 5 1 0 0 1 1 3 1
1 7 1 1 0 0 0 0 0 1 50 3 1
1 8 1 1 0 1 0 0 0 1 50 3 1
1 9 1 1 0 2 0 0 0 1 50 3 1
1 10 0 1 0 3 0 0 0 1 50 3 1
1 11 0 1 0 4 0 0 0 1 50 3 1
1 12 0 1 0 5 0 0 0 1 50 3 1
1 13 1 1 0 0 1 1 0 1 100 3 1
1 14 1 1 0 1 1 1 0 1 100 3 1
1 15 1 1 0 2 1 1 0 1 100 3 1
1 16 0 1 0 3 1 1 0 1 100 3 1
1 17 0 1 0 4 1 1 0 1 100 3 1
1 18 0 1 0 5 1 1 0 1 100 3 1
1 19 1 1 0 0 0 1 0 1 1 3 1
1 20 1 1 0 1 0 1 0 1 1 3 1
1 21 1 1 0 2 0 1 0 1 1 3 1
1 22 0 1 0 3 0 1 0 1 1 3 1
1 23 0 1 0 4 0 1 0 1 1 3 1
1 24 0 1 0 5 0 1 0 1 1 3 1
1 25 1 1 0 0 1 2 0 1 50 3 1
1 26 1 1 0 1 1 2 0 1 50 3 1
1 27 1 1 0 2 1 2 0 1 50 3 1
1 28 0 1 0 3 1 2 0 1 50 3 1
1 29 0 1 0 4 1 2 0 1 50 3 1
1 30 0 1 0 5 1 2 0 1 50 3 1
1 31 1 1 0 0 0 2 0 1 100 3 1
1 32 1 1 0 1 0 2 0 1 100 3 1
1 33 1 1 0 2 0 2 0 1 100 3 1
1 34 0 1 0 3 0 2 0 1 100 3 1
1 35 0 1 0 4 0 2 0 1 100 3 1
1 36 0 1 0 5 0 2 0 1 100 3 1
1 37 1 1 0 0 1 3 0 1 1 3 1
1 38 1 1 0 1 1 3 0 1 1 3 1
1 39 1 1 0 2 1 3 0 1 1 3 1
1 40 0 1 0 3 1 3 0 1 1 3 1
1 41 0 1 0 4 1 3 0 1 1 3 1
1 42 0 1 0 5 1 3 0 1 1 3 1
1 43 1 1 0 0 0 3 0 1 50 3 1
1 44 1 1 0 1 0 3 0 1 50 3 1
1 45 1 1 0 2 0 3 0 1 50 3 1
1 46 0 1 0 3 0 3 0 1 50 3 1
1 47 0 1 0 4 0 3 0 1 50 3 1
1 48 0 1 0 5 0 3 0 1 50 3 1
1 49 1 1 0 0 1 4 0 1 100 3 1
1 50 1 1 0 1 1 4 0 1 100 3 1
1 51 1 1 0 2 1 4 0 1 100 3 1
1 52 0 1 0 3 1 4 0 1 100 3 1
1 53 0 1 0 4 1 4 0 1 100 3 1
1 54 0 1 0 5 1 4 0 1 100 3 1
1 55 1 1 0 0 0 4 0 1 1 3 1
1 56 1 1 0 1 0 4 0 1 1 3 1
1 57 1 1 0 2 0 4 0 1 1 3 1
1 58 0 1 0 3 0 4 0 1 1 3 1
1 59 0 1 0 4 0 4 0 1 1 3 1
1 60 0 1 0 5 0 4 0 1 1 3 1
1 61 1 1 0 0 1 5 0 1 50 3 1
1 62 1 1 0 1 1 5 0 1 50 3 1
1 63 1 1 0 2 1 5 0 1 50 3 1
1 64 0 1 0 3 1 5 0 1 50 3 1
1 65 0 1 0 4 1 5 0 1 50 3 1
1 66 0 1 0 5 1 5 0 1 50 3 1
1 67 1 1 0 0 0 5 0 1 100 3 1
1 68 1 1 0 1 0 5 0 1 100 3 1
1 69 1 1 0 2 0 5 0 1 100 3 1
1 70 0 1 0 3 0 5 0 1 100 3 1
1 71 0 1 0 4 0 5 0 1 100 3 1
1 72 0 1 0 5 0 5 0 1 100 3 1
1 73 1 1 0 0 1 6 0 1 1 3 1
1 74 1 1 0 1 1 6 0 1 1 3 1
1 75 1 1 0 2 1 6 0 1 1 3 1
1 76 0 1 0 3 1 6 0 1 1 3 1
1 77 0 1 0 4 1 6 0 1 1 3 1
1 78 0 1 0 5 1 6 0 1 1 3 1
1 79 1 1 0 0 0 6 0 1 50 3 1
1 80 1 1 0 1 0 6 0 1 50 3 1
1 81 1 1 0 2 0 6 0 1 50 3 1
1 82 0 1 0 3 0 6 0 1 50 3 1
1 83 0 1 0 4 0 6 0 1 50 3 1
1 84 0 1 0 5 0 6 0 1 50 3 1
1 85 1 1 0 0 1 7 0 1 100 3 1
1 86 1 1 0 1 1 7 0 1 100 3 1
1 87 1 1 0 2 1 7 0 1 100 3 1
1 88 0 1 0 3 1 7 0 1 100 3 1
1 89 0 1 0 4 1 7 0 1 100 3 1
1 90 0 1 0 5 1 7 0 1 100 3 1
1 91 1 1 0 0 0 7 0 1 1 3 1
1 92 1 1 0 1 0 7 0 1 1 3 1
1 93 1 1 0 2 0 7 0 1 1 3 1
1 94 0 1 0 3 0 7 0 1 1 3 1
1 95 0 1 0 4 0 7 0 1 1 3 1
1 96 0 1 0 5 0 7 0 1 1 3 1
1 97 1 1 0 0 1 8 0 1 50 3 1
1 98 1 1 0 1 1 8 0 1 50 3 1
1 99 1 1 0 2 1 8 0 1 50 3 1
1 100 0 1 0 3 1 8 0 1 50 3 1
1 101 0 1 0 4 1 8 0 1 50 3 1
1 102 0 1 0 5 1 8 0 1 50 3 1
1 103 1 1 0 0 0 8 0 1 100 3 1
1 104 1 1 0 1 0 8 0 1 100 3 1
1 105 1 1 0 2 0 8 0 1 100 3 1
1 106 0 1 0 3 0 8 0 1 100 3 1
1 107 0 1 0 4 0 8 0 1 100 3 1
1 108 0 1 0 5 0 8 0 1 100 3 1
1 109 1 1 0 0 1 9 0 1 1 3 1
1 110 1 1 0 1 1 9 0 1 1 3 1
1 111 1 1 0 2 1 9 0 1 1 3 1
1 112 0 1 0 3 1 9 0 1 1 3 1
1 113 0 1 0 4 1 9 0 1 1 3 1
1 114 0 1 0 5 1 9 0 1 1 3 1
1 115 1 1 0 0 0 9 0 1 50 3 1
1 116 1 1 0 1 0 9 0 1 50 3 1
1 117 1 1 0 2 0 9 0 1 50 3 1
1 118 0 1 0 3 0 9 0 1 50 3 1
1 119 0 1 0 4 0 9 0 1 50 3 1
1 120 0 1 0 5 0 9 0 1 50 3 1
1 121 1 1 0 0 1 10 0 1 100 3 1
1 122 1 1 0 1 1 10 0 1 100 3 1
1 123 1 1 0 2 1 10 0 1 100 3 1
1 124 0 1 0 3 1 10 0 1 100 3 1
1 125 0 1 0 4 1 10 0 1 100 3 1
1 126 0 1 0 5 1 10 0 1 100 3 1
1 127 1 1 0 0 0 10 0 1 1 3 1
1 128 1 1 0 1 0 10 0 1 1 3 1
1 129 1 1 0 2 0 10 0 1 1 3 1
1 130 0 1 0 3 0 10 0 1 1 3 1
1 131 0 1 0 4 0 10 0 1 1 3 1
1 132 0 1 0 5 0 10 0 1 1 3 1
1 133 1 1 0 0 1 11 0 1 50 3 1
1 134 1 1 0 1 1 11 0 1 50 3 1
1 135 1 1 0 2 1 11 0 1 50 3 1
1 136 0 1 0 3 1 11 0 1 50 3 1
1 137 0 1 0 4 1 11 0 1 50 3 1
