# id layer ladder module type DTC
   0     0      0      0   PS   2
   1     1      0      0   PS   0
   2     2      0      0   PS   0
   3     3      0      0   2S   1
   4     4      0      0   2S   1
   5     5      0      0   2S   1
   6     0      1      0   PS   0
   7     1      1      0   PS   0
   8     2      1      0   PS   0
   9     3      1      0   2S   1
  10     4      1      0   2S   1
  11     5      1      0   2S   1
  12     0      0      1   PS   0
  13     1      0      1   PS   0
  14     2      0      1   PS   0
  15     3      0      1   2S   1
  16     4      0      1   2S   1
  17     5      0      1   2S   1
  18     0      1      1   PS   0
  19     1      1      1   PS   0
  20     2      1      1   PS   0
  21     3      1      1   2S   1
  22     4      1      1   2S   1
  23     5      1      1   2S   1
  24     0      0      2   PS   0
  25     1      0      2   PS   0
  26     2      0      2   PS   0
  27     3      0      2   2S   1
  28     4      0      2   2S   1
  29     5      0      2   2S   1
  30     0      1      2   PS   0
  31     1      1      2   PS   0
  32     2      1      2   PS   0
  33     3      1      2   2S   1
  34     4      1      2   2S   1
  35     5      1      2   2S   1
  36     0      0      3   PS   0
  37     1      0      3   PS   0
  38     2      0      3   PS   0
  39     3      0      3   2S   1
  40     4      0      3   2S   1
  41     5      0      3   2S   1
  42     0      1      3   PS   2
  43     1      1      3   PS   2
  44     2      1      3   PS   2
  45     3      1      3   2S   2
  46     4      1      3   2S   2
  47     5      1      3   2S   2
      
