# id layer ladder module type DTC
   0     0      0      0   PS   2
   1     1      0      0   PS   1
   2     2      0      0   PS   0
   3     3      0      0   2S   1
   4     4      0      0   2S   2
   5     5      0      0   2S   1
   6     0      1      0   PS   2
   7     1      1      0   PS   0
   8     2      1      0   PS   0
   9     3      1      0   2S   1
  10     4      1      0   2S   1
  11     5      1      0   2S   1
  12     0      0      1   PS   0
  13     1      0      1   PS   0
  14     2      0      1   PS   0
  15     3      0      1   2S   1
  16     4      0      1   2S   1
  17     5      0      1   2S   1
  18     0      1      1   PS   0
  19     1      1      1   PS   0
  20     2      1      1   PS   0
  21     3      1      1   2S   1
  22     4      1      1   2S   1
  23     5      1      1   2S   1
  24     0      0      2   PS   0
  25     1      0      2   PS   0
  26     2      0      2   PS   0
  27     3      0      2   2S   1
  28     4      0      2   2S   1
  29     5      0      2   2S   1
  30     0      1      2   PS   0
  31     1      1      2   PS   0
  32     2      1      2   PS   0
  33     3      1      2   2S   1
  34     4      1      2   2S   1
  35     5      1      2   2S   1
  36     0      0      3   PS   0
  37     1      0      3   PS   0
  38     2      0      3   PS   0
  39     3      0      3   2S   1
  40     4      0      3   2S   1
  41     5      0      3   2S   1
  42     0      1      3   PS   2
  43     1      1      3   PS   2
  44     2      1      3   PS   2
  45     3      1      3   2S   2
  46     4      1      3   2S   2
  47     5      1      3   2S   2
  48     0      0      4   PS   2
  49     1      0      4   PS   2
  50     0      0      5   PS   2
  51     1      0      5   PS   1
  52     2      0      5   PS   0
  53     3      0      5   2S   1
  54     4      0      5   2S   2
  55     5      0      5   2S   1
  56     0      1      5   PS   2
  57     1      1      5   PS   0
  58     2      1      5   PS   0
  59     3      1      5   2S   1
  60     4      1      5   2S   1
  61     5      1      5   2S   1
  62     0      0      6   PS   0
  63     1      0      6   PS   0
  64     2      0      6   PS   0
  65     3      0      6   2S   1
  66     4      0      6   2S   1
  67     5      0      6   2S   1
  68     0      1      6   PS   0
  69     1      1      6   PS   0
  70     2      1      6   PS   0
  71     3      1      6   2S   1
  72     4      1      6   2S   1
  73     5      1      6   2S   1
  74     0      0      7   PS   0
  75     1      0      7   PS   0
  76     2      0      7   PS   0
  77     3      0      7   2S   1
  78     4      0      7   2S   1
  79     5      0      7   2S   1
  80     0      1      7   PS   0
  81     1      1      7   PS   0
  82     2      1      7   PS   0
  83     3      1      7   2S   1
  84     4      1      7   2S   1
  85     5      1      7   2S   1
  86     0      0      8   PS   0
  87     1      0      8   PS   0
  88     2      0      8   PS   0
  89     3      0      8   2S   1
  90     4      0      8   2S   1
  91     5      0      8   2S   1
  92     0      1      8   PS   2
